timestamp,employer,job_title,year_employer,year_exp,base_pay,signing_bonus,annaul_bonus,annual_stock,sex
"3/21/2016 12:54:49","","Software Developer",0,18,122000,0,0,0,"Male"
"3/21/2016 12:58:52","Opower","Systems Engineer",2,13,125000,5000,0,5000,"Male"
"3/21/2016 12:58:57","","Systems engineer",1,1,83000,0,5000,0,"Male"
"3/21/2016 12:58:58","Walmart","Senior Developer",8,15,65000,0,5000,3000,"Male"
"3/21/2016 12:59:11","Vertical Knowledge","Software Engineer",1,4,86000,5000,6000,0,"Male"
"3/21/2016 12:59:30","","Director of Product",0,10,200000,0,40000,250000,""
"3/21/2016 13:00:17","NetApp","MTS",0,4,105000,5000,8500,0,"Male"
"3/21/2016 13:00:20","","",0,0,0,0,0,0,""
"3/21/2016 13:01:19","","zz",0,0,1,0,0,0,""
"3/21/2016 13:01:19","","Software Developer",1,2,90500,0,0,0,"Male"
"3/21/2016 13:02:01","","Sr Operations Engineer",0,0,105000,0,20000,0,"Male"
"3/21/2016 13:02:04","","asdf",0,0,80000,0,0,0,""
"3/21/2016 13:02:08","Apple","Software Engineer",3,4,110000,5000,7000,150000,"Male"
"3/21/2016 13:03:03","","DevOps Engineer",1,10,115000,0,0,0,"Male"
"3/21/2016 13:03:06","Casino","IT Technician",15,5,40000,0,500,0,"Male"
"3/21/2016 13:03:23","","Software engineer",0,0,30000,0,0,0,"Male"
"3/21/2016 13:03:35","Tetra Tech","Lead Interviewer",25,4,45000,0,1500,0,"Male"
"3/21/2016 13:03:52","Knewton","Senior software engineer",2,8,135000,0,0,0,"Male"
"3/21/2016 13:03:56","","Software Engineer",1,10,135000,0,7000,22000,"Male"
"3/21/2016 13:04:09","","Software Engineer III",5,15,89000,0,9000,0,"Male"
"3/21/2016 13:04:16","","DevOps Engineer",1,20,155000,0,0,0,"Male"
"3/21/2016 13:04:22","Amplify","Software Engineer",1,2,105000,0,47000,0,"Male"
"3/21/2016 13:04:23","","Software Engineer",1,9,95000,0,0,0,"Male"
"3/21/2016 13:04:25","Sqor","Infrastructure/Platform Engineer",1,1,80000,0,0,500,"Male"
"3/21/2016 13:04:33","PENSCO Trust Company","Senior Software Engineer",15,10,120000,0,6000,0,"Male"
"3/21/2016 13:04:42","ThoughtWorks","Software Developer, Consultant",2,2,78000,0,0,0,"Male"
"3/21/2016 13:04:46","","Mobile Engineer (iOS)",1,0,135,0,0,0,"Male"
"3/21/2016 13:04:50","","Software Engineer",5,2,75000,0,0,0,"Male"
"3/21/2016 13:04:53","","Lead Software Engineer",3,5,115000,0,0,0,"Male"
"3/21/2016 13:05:09","","Infrastructure Engineer",3,12,110000,10000,10000,15000,"Male"
"3/21/2016 13:05:11","Purdue University","Web Developer",15,2,60000,0,0,0,"Male"
"3/21/2016 13:05:12","","CTO",0,11,250000,0,0,0,"Male"
"3/21/2016 13:05:16","","Senior Application Architect",10,12,150000,0,25000,0,"Male"
"3/21/2016 13:05:23","","Senior Developer",4,6,100000,0,10000,0,"Male"
"3/21/2016 13:05:33","Small B2B Company","Analyst",1,4,63000,0,2000,0,"Male"
"3/21/2016 13:05:36","Small B2B Company","Analyst",1,4,63000,0,2000,0,"Male"
"3/21/2016 13:05:51","SQLI","IT Project Manager",3,8,38210,0,0,0,"Male"
"3/21/2016 13:05:53","Slalom","Senior Engineer",1,5,93000,0,15000,0,"Male"
"3/21/2016 13:06:10","","Management Consultant",4,10,225000,100000,60000,0,"Male"
"3/21/2016 13:06:23","Magento Commerce","Member of Technical Staff",1,19,131000,0,0,80000,"Male"
"3/21/2016 13:06:25","Oracle","Student Intern Co-op",0,0,24,0,0,0,"Male"
"3/21/2016 13:06:44","","Software Development Lead",6,17,108000,0,1000,0,"Male"
"3/21/2016 13:06:47","","Director, Product Management",0,15,170000,0,20000,30000,"Male"
"3/21/2016 13:06:52","","Developer",4,4,54000,0,0,0,"Male"
"3/21/2016 13:06:54","","Software Engineer",2,2,67000,0,0,0,"Male"
"3/21/2016 13:06:54","Klick Inc.","Full Stack Developer",3,5,85000,0,5000,0,"Male"
"3/21/2016 13:06:57","small consulting shop","Developer",35,10,150000,0,0,0,"Male"
"3/21/2016 13:06:58","Amazon","SDE1",0,0,95000,20000,0,30000,"Male"
"3/21/2016 13:07:03","NBC Universal","Senior Analyst",15,2,55000,0,0,0,"Male"
"3/21/2016 13:07:10","","Sr Software Engineer",2,5,80000,0,0,0,"Male"
"3/21/2016 13:07:22","30 person startup","Software Engineer",2,5,125000,0,0,0,"Male"
"3/21/2016 13:07:27","","Data Scientist",2,3,120000,0,0,0,"Male"
"3/21/2016 13:07:36","","asd",0,0,123,0,0,0,""
"3/21/2016 13:07:58","liveops","sr engineer",3,6,145000,0,20000,15000,"Male"
"3/21/2016 13:08:00","","Senior Developer",3,21,134000,0,0,0,"Male"
"3/21/2016 13:08:01","Expedia","Software Engineer",25,0,78000,5000,4000,0,"Male"
"3/21/2016 13:08:03","","Engineering Manager",2,9,176000,0,10,0,"Male"
"3/21/2016 13:08:11","","Data Scientist",0,0,110000,0,0,0,"Male"
"3/21/2016 13:08:17","","CSR",19,3,55000,0,0,0,"Male"
"3/21/2016 13:08:20","Quick Left","Senior Developer",1,6,120000,0,0,500,"Male"
"3/21/2016 13:08:25","1&1 Development SRL","Software Developer",2,5,17264,0,0,0,"Male"
"3/21/2016 13:08:59","","Full-Stack Engineer",6,7,75000,0,0,0,"Male"
"3/21/2016 13:09:25","Early-Stage Startup","iOS Developer",8,8,365,0,0,0,"Male"
"3/21/2016 13:09:25","","Principal Software Engineer",7,12,124000,0,0,600001,"Male"
"3/21/2016 13:09:28","rei systems","associate software engineer",1,1,5560,0,0,0,"Male"
"3/21/2016 13:09:45","","afdsfa",0,0,323232,0,0,0,""
"3/21/2016 13:09:52","","Senior Software Engineer",8,9,130000,0,10000,0,"Male"
"3/21/2016 13:10:06","","Server Engineer",3,5,75000,0,0,0,"Male"
"3/21/2016 13:10:28","Some Financial Co","Software Dev",1,0,120000,35000,150004,0,"Male"
"3/21/2016 13:10:39","Mitsubishi Hitachi Power Systems America","Steam Turbine Service Engineer",1,4,80001,10000,0,0,"Male"
"3/21/2016 13:10:44","Startup","Senior Engineer",3,8,100000,0,0,80000,"Male"
"3/21/2016 13:10:50","","Software Engineer",0,3,78000,1500,4000,0,"Male"
"3/21/2016 13:10:52","","Applications Developer",1,2,98000,0,10000,0,"Male"
"3/21/2016 13:10:54","","Development Engineer",4,4,93000,2500,4000,0,"Male"
"3/21/2016 13:10:55","SF Startup","Web developer",5,5,125000,5000,10,0,"Male"
"3/21/2016 13:10:56","","Software Developer",1,6,725000,0,4000,0,"Male"
"3/21/2016 13:11:03","","senior developer",10,10,145000,0,5000,0,"Male"
"3/21/2016 13:11:03","Intel","Product Development Engineer",25,25,82000,0,0,0,"Male"
"3/21/2016 13:11:04","","Software Engineer",1,5,90000,0,0,0,"Male"
"3/21/2016 13:11:11","City of Austin","IT Programmer",15,40,103000,0,1500,0,"Male"
"3/21/2016 13:11:11","","Software Engineer",0,0,105000,0,0,0,""
"3/21/2016 13:11:13","","Software Developer",3,6,60000,0,3000,0,"Male"
"3/21/2016 13:11:16","","Developer",3,6,100000,0,0,10000,"Male"
"3/21/2016 13:11:18","","senior ui/ux front-end engineer",2,12,100000,0,0,0,"Male"
"3/21/2016 13:11:28","","graduate developer",0,0,32000,0,0,0,""
"3/21/2016 13:11:30","","Software Developer",1,10,75000,0,0,0,"Male"
"3/21/2016 13:11:30","","Senior Developer",15,25,90000,0,0,0,"Male"
"3/21/2016 13:11:44","","CTO",3,13,108500,0,0,0,"Male"
"3/21/2016 13:11:47","Early-Stage Startup","Director of Product",3,5,80000,0,0,50000,"Male"
"3/21/2016 13:11:47","Social Tables","Engineer",1,2,80000,5000,0,0,"Male"
"3/21/2016 13:12:02","Loyalty New Zealand","Software Engineer",2,2,50000,0,5000,0,"Male"
"3/21/2016 13:12:07","Freelance","Software Engineer",11,20,190000,0,0,0,"Male"
"3/21/2016 13:12:17","","Engineer",0,0,112,0,0,0,""
"3/21/2016 13:12:18","","Database developer",2,4,90000,0,0,0,"Male"
"3/21/2016 13:12:21","","j",0,0,0,0,0,0,""
"3/21/2016 13:12:23",".gov","Architect",16,18,119000,0,2000,0,"Male"
"3/21/2016 13:12:27","","support",0,0,24000,0,0,0,"Male"
"3/21/2016 13:12:34","","Security Researcher",2,10,25000,0,0,0,"Male"
"3/21/2016 13:12:36","","Solution Architect",0,0,135000,0,0,0,""
"3/21/2016 13:12:47","","Software Developer",0,6,72500,0,4000,0,"Male"
"3/21/2016 13:12:48","Hedge Fund","Investment Professional",35,10,500000,50000,250000,150000,"Male"
"3/21/2016 13:12:49","Twilio","Software Engineer New Grad",1,1,115000,10000,0,80,"Male"
"3/21/2016 13:12:50","","Full-stack web developer",25,4,30000,0,0,0,"Male"
"3/21/2016 13:12:51","Stronghold Data","Teir Two Tech",4,9,38000,0,1000,0,"Male"
"3/21/2016 13:13:02","Self-Employed","Consultant, CTO as needed",1,8,325000,0,0,0,"Male"
"3/21/2016 13:13:07","Employer X","Web Developer",2,8,100000,0,0,0,"Male"
"3/21/2016 13:13:19","Financial sector","Software analyst",1,2,23000,0,500,0,"Male"
"3/21/2016 13:13:42","","Software Architect",1,6,145000,5000,0,0,"Male"
"3/21/2016 13:13:46","","Sysadmin",2,2,30000,0,0,0,"Male"
"3/21/2016 13:13:47","Comcast","Python Engineer",1,5,138000,0,0,0,"Male"
"3/21/2016 13:13:54","","Senior Software Engineer",0,14,130000,0,0,0,"Male"
"3/21/2016 13:13:55","","Lead Front-end Developer",25,45,62500,0,0,0,"Female"
"3/21/2016 13:13:59","LinkedIn","Site Reliability Engineer",1,4,140000,0,14000,43750,"Male"
"3/21/2016 13:14:01","","Senior Software Developer",1,15,140000,0,0,0,"Male"
"3/21/2016 13:14:01","Nara Logics","Software Developer",4,12,115000,0,0,0,"Male"
"3/21/2016 13:14:04","CloudFlare","Solution Eningeer",0,0,83000,0,25000,0,"Male"
"3/21/2016 13:14:08","","Software engineer",15,6,53000,0,3000,0,"Male"
"3/21/2016 13:14:17","McKinsey & Company","Business Analyst",15,15,90000,10000,22000,0,"Male"
"3/21/2016 13:14:24","Small B2B Company","System Administrator",10,10,1575,0,3000,0,"Male"
"3/21/2016 13:14:27","","Application Developer",0,0,100000,0,0,0,""
"3/21/2016 13:14:27","Microsoft","Software engineer 1",1,1,105000,15000,0,50000,"Male"
"3/21/2016 13:14:32","","Sr Engineer",1,15,140000,5000,15000,50000,"Male"
"3/21/2016 13:14:36","","Lead Software Engineer",1,13,160000,0,1000,0,"Male"
"3/21/2016 13:14:36","","Lead Designer",15,3,75000,0,0,0,"Male"
"3/21/2016 13:14:45","Startup","Software Engineer",1,25,100000,0,0,0,"Male"
"3/21/2016 13:14:48","","Software Engineer",2,4,115000,10000,11500,14000,"Male"
"3/21/2016 13:14:48","Cornell University","PhD student",4,4,28500,0,0,0,"Male"
"3/21/2016 13:14:50","Microsoft","SDE",2,4,275,0,23,0,"Female"
"3/21/2016 13:15:06","Booking.com","Perl Developer",1,10,617,0,25,35,"Male"
"3/21/2016 13:15:15","Amazon","Software Development Engineer",1,0,95000,22000,20000,52000,"Male"
"3/21/2016 13:15:24","","Programmer",1,35,90000,0,0,0,"Male"
"3/21/2016 13:15:30","Too Small To Say","Web Developer General IT",75,10,88000,0,8000,2500,"Male"
"3/21/2016 13:15:38","","Dev Ops",2,5,100000,0,5000,0,"Male"
"3/21/2016 13:15:38","","Junior Software Engineer",15,2,105000,0,0,0,"Female"
"3/21/2016 13:15:50","IBM","Linux Engineer",1,1,84000,0,0,0,"Male"
"3/21/2016 13:15:52","Synopsys","Software Engineer, Sr 1",2,3,115000,0,10000,5000,"Male"
"3/21/2016 13:16:02","","Software Engineer II",1,11,80000,3000,200,0,"Male"
"3/21/2016 13:16:15","analytics company","Software Developer",2,11,103000,0,12000,0,"Male"
"3/21/2016 13:16:19","","Software Developer",1,1,80000,0,0,0,"Male"
"3/21/2016 13:16:20","","Engineer",25,25,100000,0,0,1200000,"Male"
"3/21/2016 13:16:25","","Sr Software Engineer",1,5,115000,5000,8500,0,"Male"
"3/21/2016 13:16:25","Epic","Software Developer",2,4,94000,0,2000,0,"Male"
"3/21/2016 13:16:40","EVRY","Consultant",2,3,380000,0,0,0,"Male"
"3/21/2016 13:16:44","","Web Programmer",3,0,30187,0,0,0,"Male"
"3/21/2016 13:16:44","","Director of Mobile",1,5,90000,0,0,0,"Male"
"3/21/2016 13:16:47","","Full stack developer",7,15,11250,0,0,0,"Male"
"3/21/2016 13:16:53","","Software Engineer",5,11,122000,0,10,10000,"Male"
"3/21/2016 13:16:59","","Web developer",0,0,160000,0,0,0,"Male"
"3/21/2016 13:17:01","","Software Engineer",0,0,135000,0,0,0,"Male"
"3/21/2016 13:17:03","","Software Engineer",4,6,85000,0,10000,40000,"Male"
"3/21/2016 13:17:06","B2B","Senior Developer",3,10,140000,0,10000,0,"Male"
"3/21/2016 13:17:11","Texas Tech University System","Programmer Analyst III",3,7,55000,0,0,0,"Male"
"3/21/2016 13:17:13","UNC-CH/NCSU Joint Biomedical Engr. Dept","Phd Student",1,4,24073,0,0,0,"Male"
"3/21/2016 13:17:15","","Developer",3,5,27000,0,0,0,"Male"
"3/21/2016 13:17:24","","Senior Developer",15,20,125000,0,7500,0,"Male"
"3/21/2016 13:17:26","Investment Bank","M&A Analyst",1,1,85000,15000,70000,0,"Male"
"3/21/2016 13:17:32","","Senior Software Engineer",1,7,95000,0,0,0,"Male"
"3/21/2016 13:17:36","Microsoft","Software Engineer",0,3,61000,0,6000,3500,"Female"
"3/21/2016 13:17:43","Apple","Senior Software Engineer",2,10,151000,20000,40000,10000,"Male"
"3/21/2016 13:17:51","","Developer",3,3,62000,0,0,0,"Male"
"3/21/2016 13:17:52","IHS","Software Engineer",2,4,30000,0,0,2500,"Male"
"3/21/2016 13:17:57","Conde Nast","Software Engineer - Level 2",4,8,112000,0,2,0,"Male"
"3/21/2016 13:18:02","","Data Engineer",2,4,103000,0,7000,0,"Male"
"3/21/2016 13:18:03","","Director of Product Engineering",1,0,125000,0,0,8000,"Male"
"3/21/2016 13:18:07","","Software Engineer",15,2,109000,8000,4000,4000,"Male"
"3/21/2016 13:18:08","Pariveda Solutions","Consultant II",2,3,77000,5000,0,0,"Male"
"3/21/2016 13:18:11","Mid-size Fundraising Startup","Senior Software Engineer",0,11,165000,0,0,15,"Queer"
"3/21/2016 13:18:29","Starbucks Coffee Company","Senior Application Developer",3,10,127000,0,15,10,"Male"
"3/21/2016 13:18:38","Intel","Software Engineer",5,12,112000,0,20000,20000,"Male"
"3/21/2016 13:18:46","","Software Engineer",1,2,106500,0,0,0,"Male"
"3/21/2016 13:19:02","","Product Manager",4,1,85000,0,8500,0,"Male"
"3/21/2016 13:19:29","","Software Developer",10,5,42715,0,0,0,"Male"
"3/21/2016 13:19:35","","Senior Software Engineer",0,0,225000,0,0,0,"Male"
"3/21/2016 13:19:39","","Lead Software Engineer",6,22,78000,0,0,0,"Male"
"3/21/2016 13:19:39","Tumblr","Content Strategist/Blogger Advocate",2,0,129857,0,0,0,"Cisqueer Trans Faerie"
"3/21/2016 13:19:42","LinkedIn","Senior Web Developer",4,10,165000,0,15000,50000,"Male"
"3/21/2016 13:19:58","","sDF",0,0,7445745,0,0,0,""
"3/21/2016 13:20:06","","Full-Stack Software Developer",1,9,70000,0,0,0,"Fucking space lizard firing lazers out of my giant cock"
"3/21/2016 13:20:12","Anixter, Inc","Information Security Engineer",2,7,97000,0,5000,0,"Male"
"3/21/2016 13:20:25","Yahoo!","Senior Software Development Engineer",6,10,93000,15000,9000,0,"Male"
"3/21/2016 13:20:28","","Senior Software engineer",2,3,137000,0,145000,500000,"Male"
"3/21/2016 13:20:31","FactSet","Software Engineer",3,5,120000,5000,0,0,"other"
"3/21/2016 13:20:51","","Web Developer",3,5,43000,0,0,0,"Male"
"3/21/2016 13:20:58","Tango.me","Senior Data Engineer",1,10,130000,0,0,0,"Male"
"3/21/2016 13:21:02","JP Morgan","Senior Java Dev",5,8,45000,0,3000,0,"Male"
"3/21/2016 13:21:02","Microsoft","SDE II",4,4,125000,50000,10000,5000,"Male"
"3/21/2016 13:21:04","Google NYC","SWE III",1,10,135500,50000,22300,43700,"Male"
"3/21/2016 13:21:13","Tamr Inc","Software Engineer",1,5,135000,0,0,0,"Male"
"3/21/2016 13:21:14","Rockfish Interactive","Developer II",2,5,65000,0,1950,0,"Male"
"3/21/2016 13:21:16","Small non-startup SW company","Senior Software Engineer",4,14,92500,0,0,0,"Male"
"3/21/2016 13:21:23","Apple Inc.","Senior System Engineer",1,9,130000,20000,0,40000,""
"3/21/2016 13:21:26","","Backend Web Developer",4,10,145000,20000,7000,0,"Male"
"3/21/2016 13:21:33","Amazon","UX Designer II",1,1,12000,55000,15000,20000,"Male"
"3/21/2016 13:21:40","DoD Contractor","Software Eng. III",1,4,100000,0,0,0,"Male"
"3/21/2016 13:21:50","Walmartlabs","Principal/Lead Software Engineer",4,14,190000,150000,50000,75000,"Male"
"3/21/2016 13:21:49","","Software Engineer",0,8,180000,0,0,0,"Male"
"3/21/2016 13:21:52","","Software Developer",0,0,103000,0,15,0,"Male"
"3/21/2016 13:21:53","","Product Manager",0,0,110000,0,0,0,"Male"
"3/21/2016 13:22:02","Comcast","Developer",1,1,50000,0,0,0,"Male"
"3/21/2016 13:22:13","","Mechanical Engineer",3,3,90000,10000,5000,60000,"Male"
"3/21/2016 13:22:13","","Engineer",2,2,135000,0,0,2000,"Male"
"3/21/2016 13:22:16","","Data Scientist",7,8,86500,0,13000,2000,"Male"
"3/21/2016 13:22:17","","Senior Software Engineer",1,10,100000,0,0,0,"Male"
